Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Victor,LGTV20203=31017340285,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2021-07-02T17:19:43.118Z,2021-09-23T23:27:23.363Z,2021-07-02T17:20:32.346Z,2021-09-23T23:27:23.363Z,2021-07-02T17:19:43.118Z,2021-09-23T23:27:23.363Z,2021-07-02T17:20:32.346Z,2021-09-23T23:27:23.363Z,
MOISES,SSTV-NKL2-0000000000000009367115,Samsung CE 2020 Nike-L UHD TV Smart TV,2021-06-17T14:17:10.539Z,2021-09-23T21:53:52.065Z,2021-06-17T14:17:10.539Z,2021-09-23T21:23:28.640Z,2021-06-17T14:17:10.539Z,2021-09-23T21:53:52.065Z,2021-06-17T14:17:10.539Z,2021-09-23T21:23:28.640Z,
Victor,NFANDROID1-PRV-P-L3-MOTORMOTOROLA=ONE=ACTION-22589-030F15D1CBF371FB429C6E430C3550D30FBFE658C6B8BF5003CB8BE337174DEB2,Android DefaultWidevineL3Phone Android Phone,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,
MOISES,NFCDCH-AP-H6208V2AAD1N2C74RME50TP8CW7WWG,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Victor,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-067D42BC7A7F1CC01954EAF6392A6A4CC51DCA4F116A03C327479BE3FD3CCC382,DefaultWidevineAndroidPhone,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,,,,,
Kids,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-067D42BC7A7F1CC01954EAF6392A6A4CC51DCA4F116A03C327479BE3FD3CCC382,DefaultWidevineAndroidPhone,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,,,,,
Rafael,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-067D42BC7A7F1CC01954EAF6392A6A4CC51DCA4F116A03C327479BE3FD3CCC382,DefaultWidevineAndroidPhone,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,,,,,
MOISES,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-067D42BC7A7F1CC01954EAF6392A6A4CC51DCA4F116A03C327479BE3FD3CCC382,DefaultWidevineAndroidPhone,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,,,,,
Victor,LGTV20194=41004331312,LG 2019 Mstar M3R Standard DTV Smart TV,2020-03-12T00:51:55.955Z,2021-09-23T02:59:46.221Z,2020-03-12T00:54:09.255Z,2021-09-23T02:59:46.221Z,2020-03-12T00:51:55.955Z,2021-09-23T02:59:46.221Z,2020-03-12T00:54:09.255Z,2021-09-23T02:59:46.221Z,
Rafael,SSTV-NVT5-0000000000000019778088,Samsung 2015 NT14M DTV Smart TV,2019-06-21T17:48:55.462Z,2021-09-23T01:07:20.629Z,2019-12-01T00:13:41.687Z,2021-09-23T01:07:20.629Z,2019-06-21T17:48:55.462Z,2021-09-23T01:07:20.629Z,2019-12-01T00:13:41.687Z,2021-09-23T01:07:20.629Z,
Victor,NFCDCH-02-HMHZ22EPCT5902TTK31MNVGHN5EWEF,Chrome PC (Cadmium),2021-09-20T12:25:53.097Z,2021-09-21T20:39:41.364Z,2021-09-20T12:26:04.774Z,2021-09-21T20:39:41.364Z,2021-09-20T12:25:53.097Z,2021-09-21T20:39:41.364Z,2021-09-20T12:26:04.774Z,2021-09-21T20:39:41.364Z,
Victor,SSTV-HKM1-0000000000000003491180,Samsung 2015 Hawk-M Smart TV,2020-09-05T17:58:07.576Z,2021-09-21T19:34:28.350Z,2020-09-05T17:58:07.576Z,2021-09-19T22:09:23.662Z,2020-09-05T17:58:07.576Z,2021-09-21T19:34:28.350Z,2020-09-05T17:58:07.576Z,2021-09-19T22:09:23.662Z,
MOISES,NFCDCH-02-HMHZ22EPCT5902TTK31MNVGHN5EWEF,Chrome PC (Cadmium),2021-09-20T12:25:53.097Z,2021-09-21T20:39:41.364Z,2021-09-20T12:26:04.774Z,2021-09-21T20:39:41.364Z,,,,,
MOISES,SSTV-HKM1-0000000000000003383337,Samsung 2015 Hawk-M Smart TV,2019-05-12T15:47:36.468Z,2021-09-20T01:58:38.802Z,2019-07-10T22:04:10.449Z,2021-09-20T01:58:38.802Z,2019-05-12T15:47:36.468Z,2021-09-20T01:58:38.802Z,2019-07-10T22:04:10.449Z,2021-09-20T01:58:38.802Z,
Rafael,NFAPPL-02-IPHONE13=2-30554CB72487309D11B98A5819D5CB15F469A2486789B6582C20C62396F2A235,iPhone 12,2021-08-15T18:48:56.137Z,2021-09-19T01:30:14.501Z,2021-08-22T17:42:33.128Z,2021-08-22T17:42:34.132Z,2021-08-15T18:48:56.137Z,2021-09-19T01:30:14.501Z,2021-08-22T17:42:33.128Z,2021-08-22T17:42:34.132Z,
Rafael,SSTV-KU20-0000000000000013075706,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-02-15T17:09:54.406Z,2021-09-18T21:18:46.096Z,2021-02-15T18:12:00.877Z,2021-09-18T19:50:10.224Z,2021-02-15T17:09:54.406Z,2021-09-18T21:18:46.096Z,2021-02-15T18:12:00.877Z,2021-09-18T19:50:10.224Z,
MOISES,SSTV-KU20-0000000000000013075706,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-02-15T17:09:54.406Z,2021-09-18T21:18:46.096Z,2021-02-15T18:12:00.877Z,2021-09-18T19:50:10.224Z,2021-09-18T19:35:15.566Z,2021-09-18T19:35:15.566Z,,,
Rafael,SSTV-MSL1-0000000000000001082293,Samsung CE 2019 Muse-L UHD TV Smart TV,2019-06-29T11:13:54.101Z,2021-09-18T01:41:59.887Z,2019-07-04T18:17:42.550Z,2021-09-18T01:41:59.887Z,2019-06-29T11:13:54.101Z,2021-09-18T01:41:59.887Z,2019-07-04T18:17:42.550Z,2021-09-18T01:41:59.887Z,
Rafael,SSTV-X121-130218-0010284147-0965,Samsung 2013 MStar X12 Smart TV,2018-09-06T17:08:50.593Z,2021-09-14T23:06:59.323Z,2018-09-06T17:08:50.593Z,2021-09-14T23:06:59.323Z,2019-09-25T02:19:22.731Z,2021-09-14T23:06:59.323Z,2019-09-25T02:19:22.731Z,2021-09-14T23:06:59.323Z,
MOISES,NFANDROID1-PRV-P-SAMSUSM-G975F-7176-03B23D1A239A3AD0F95183D4C1C0A5622C880D774DB40010FADA161A86F70C566,DefaultWidevineAndroidPhone,2020-09-07T15:55:28.932Z,2021-06-28T00:22:12.189Z,2020-09-07T15:55:28.932Z,2021-06-28T00:22:12.189Z,,,,,
MOISES,NFANDROID1-PRV-T-L3-ROCKCTV=BOX-4445-07D713C23BED7C162B0976EB5DA83CF239E8182B64CBC807E2CB5A1E5A1A930B0,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
MOISES,NFANDROID1-PRV-P-MOTORMOTOROLA=ONE=FUSION-13234-0639D9619785E1FFAB11015E83D8A05C01E866C3292F9476B7B5C25FBB5291D2D,DefaultWidevineAndroidPhone,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,
MOISES,NFCDCH-02-HLAR38VW7K6GMP97JKRFMKXCPV4AR0,Chrome PC (Cadmium),2021-09-06T00:28:30.218Z,2021-09-06T00:36:25.620Z,2021-09-06T00:36:25.620Z,2021-09-06T00:36:25.620Z,2021-09-06T00:28:30.218Z,2021-09-06T00:36:25.620Z,2021-09-06T00:36:25.620Z,2021-09-06T00:36:25.620Z,
MOISES,NFCDCH-02-HKYUWM431UTMGGCU1MR2VVM5MX32AM,Chrome PC (Cadmium),2021-09-01T12:03:30.637Z,2021-09-02T17:36:03.297Z,2021-09-01T12:07:16.538Z,2021-09-02T17:02:43.630Z,2021-09-01T12:03:30.637Z,2021-09-02T17:36:03.297Z,2021-09-01T12:07:16.538Z,2021-09-02T17:02:43.630Z,
Victor,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-08AEA50426F99F33861D4E8664AADD8EF712E2C322C65B644094D986C77B87FA9,Android DefaultWidevineL3Phone Android Phone,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,
Kids,SSTV-HKM1-0000000000000003383337,Samsung 2015 Hawk-M Smart TV,2019-05-12T15:47:36.468Z,2021-09-20T01:58:38.802Z,2019-07-10T22:04:10.449Z,2021-09-20T01:58:38.802Z,,,,,
Marcio,NFANDROID1-B-REALTSMART=TV001S-D4A09812BA6356DFBFB1FD622F80CD7A18E2D2C6A13DE8DA4DFAA9E0037C2B33,Netflix AndroidLegacySTB Android,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,
Marcio,PHTV13OPM0-00038980012701130408133614,Philips 2013 MTK5396 based TVs Smart TV,2019-07-13T19:44:22.140Z,2021-07-17T00:55:08.191Z,2019-07-13T19:44:22.140Z,2021-07-17T00:55:08.191Z,2019-07-13T19:44:22.140Z,2021-07-17T00:55:08.191Z,2019-07-13T19:44:22.140Z,2021-07-17T00:55:08.191Z,
MOISES,NFANDROID1-PRV-P-L3-SAMSUSM-A505GT-8158-083FACB3992D987AF723BD64A327D96C3A3498AA0FCE3CD27A17D8129921D1AFB,Android DefaultWidevineL3Phone Android Phone,2020-09-30T13:28:53.039Z,2021-07-14T12:32:10.840Z,2020-09-30T13:28:53.039Z,2021-07-14T12:32:10.840Z,2020-09-30T13:28:53.039Z,2021-07-14T12:32:10.840Z,2020-09-30T13:28:53.039Z,2021-07-14T12:32:10.840Z,
Victor,LGTV20165=51001557066,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,2019-01-02T16:17:30.170Z,2021-07-08T01:10:28.230Z,2019-09-30T01:12:53.053Z,2021-07-08T01:10:28.230Z,2019-01-02T16:17:30.170Z,2021-07-08T01:10:28.230Z,2019-09-30T01:12:53.053Z,2021-07-08T01:10:28.230Z,
MOISES,LGTV20203=31017340285,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2021-07-02T17:19:43.118Z,2021-09-23T23:27:23.363Z,2021-07-02T17:20:32.346Z,2021-09-23T23:27:23.363Z,,,,,
Victor,NFCDCH-AP-HEYKCNYAXEP6QE878T1CH9WKQ3H759,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Victor,NFUWA-001-1580FCF3B641ACDA364BA5DC88C0516DAD3F3A2C50E58CA15400566795AFAFE5,Netflix Windows App - Cadmium Windows Mobile,2019-12-30T12:02:08.390Z,2021-07-01T17:19:51.571Z,2019-12-30T12:03:11.559Z,2021-07-01T17:03:43.276Z,2019-12-30T12:02:08.390Z,2021-07-01T17:19:51.571Z,2019-12-30T12:03:11.559Z,2021-07-01T17:03:43.276Z,
MOISES,WWW-BROWSE-HETYY45JF0U7DGJX8W9RR5VCFKFKJG,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
MOISES,NFAPPL-02-IPHONE13=2-30554CB72487309D11B98A5819D5CB15F469A2486789B6582C20C62396F2A235,iPhone 12,2021-08-15T18:48:56.137Z,2021-09-19T01:30:14.501Z,2021-08-22T17:42:33.128Z,2021-08-22T17:42:34.132Z,,,,,
Victor,NFANDROID1-PRV-P-SAMSUSM-G975F-7176-03B23D1A239A3AD0F95183D4C1C0A5622C880D774DB40010FADA161A86F70C566,DefaultWidevineAndroidPhone,2020-09-07T15:55:28.932Z,2021-06-28T00:22:12.189Z,2020-09-07T15:55:28.932Z,2021-06-28T00:22:12.189Z,2020-09-07T15:55:28.932Z,2021-06-28T00:22:12.189Z,2020-09-07T15:55:28.932Z,2021-06-28T00:22:12.189Z,
Rafael,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-08AEA50426F99F33861D4E8664AADD8EF712E2C322C65B644094D986C77B87FA9,Android DefaultWidevineL3Phone Android Phone,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,,,,,
Victor,NFANDROID1-PRV-P-L3-LGE==LG-K220-4445-0434116145FDEA940318050AC7E93FF27B907B543461DF18AF576415D74595B07,Android DefaultWidevineL3Phone Android Phone,2020-01-26T23:35:28.050Z,2021-06-18T22:48:13.550Z,2020-01-26T23:35:28.050Z,2021-06-18T22:48:13.550Z,2020-01-26T23:35:28.050Z,2021-06-18T22:48:13.550Z,2020-01-26T23:35:28.050Z,2021-06-18T22:48:13.550Z,
MOISES,NFANDROID1-REALTSMART=TV001S-F880FE57E2DBF8E735E66D7042E85C61A7F20C0A36393642CB31E656D5BB6624,Mobile,2019-09-29T18:08:24.842Z,2021-06-17T17:43:09.736Z,2019-09-29T18:08:24.842Z,2021-06-17T17:43:09.736Z,2019-09-29T18:08:24.842Z,2021-06-17T17:43:09.736Z,2019-09-29T18:08:24.842Z,2021-06-17T17:43:09.736Z,
Rafael,NFAPPL-02-IPHONE9=3-30554CB72487309D11B98A5819D5CB15F469A2486789B6582C20C62396F2A235,Apple iPhone 7 (GSM),2019-03-13T02:11:21.034Z,2021-06-13T18:54:03.292Z,2019-03-15T10:36:53.651Z,2021-03-14T00:15:49.471Z,2019-03-13T02:11:21.034Z,2021-06-13T18:54:03.292Z,2019-03-15T10:36:53.651Z,2021-03-14T00:15:49.471Z,
Kids,SSTV-HKM1-0000000000000003491180,Samsung 2015 Hawk-M Smart TV,2020-09-05T17:58:07.576Z,2021-09-21T19:34:28.350Z,2020-09-05T17:58:07.576Z,2021-09-19T22:09:23.662Z,2020-11-29T11:33:16.184Z,2021-06-13T14:29:28.143Z,2020-11-29T11:33:16.184Z,2021-06-13T14:29:28.143Z,
Marcio,NFANDROID1-PRV-P-MOTORMOTOROLA=ONE=FUSION-13234-0639D9619785E1FFAB11015E83D8A05C01E866C3292F9476B7B5C25FBB5291D2D,DefaultWidevineAndroidPhone,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,,,,,
